tradedate,close,volume,open,high,low
2019-02-15,108.22,26589160,107.91,108.30,107.36
2019-02-19,108.17,17982860,107.79,108.66,107.78
2019-02-20,107.15,21603580,107.86,107.94,106.29
2019-02-21,109.41,28856200,106.90,109.48,106.87
2019-02-22,110.97,27746840,110.05,111.20,109.82
2019-02-25,111.59,23723500,111.76,112.18,111.26
2019-02-26,112.36,21513210,111.26,113.24,111.17
2019-02-27,112.17,21471170,111.69,112.36,110.88
2019-02-28,112.03,28948570,112.04,112.88,111.73
2019-03-01,112.53,20821260,112.89,113.02,111.67
2019-03-04,112.26,25869380,113.02,113.25,110.80
2019-03-05,111.70,19090780,112.25,112.39,111.23
2019-03-06,111.75,17651130,111.87,112.66,111.43
2019-03-07,110.39,25320540,111.40,111.55,109.87
2019-03-08,110.51,22803110,109.16,110.71,108.80
2019-03-11,112.83,24525610,110.99,112.95,110.98
2019-03-12,113.62,26103480,112.82,113.99,112.65
2019-03-13,114.50,35311160,114.13,115.00,113.78
2019-03-14,114.59,30414810,114.54,115.20,114.33
2019-03-15,115.91,54025470,115.34,117.25,114.59
2019-03-18,117.57,31098780,116.17,117.61,116.05
2019-03-19,117.65,35304130,118.09,118.44,116.99
2019-03-20,117.52,26110540,117.39,118.75,116.71
2019-03-21,120.22,29747140,117.14,120.82,117.09
2019-03-22,117.05,32346990,119.50,119.59,117.04
2019-03-25,117.66,26641480,116.56,118.01,116.32
2019-03-26,117.91,25986230,118.62,118.71,116.85
2019-03-27,116.77,22669440,117.88,118.21,115.52
2019-03-28,116.93,17527550,117.44,117.58,116.13
2019-03-29,117.94,25375220,118.07,118.32,116.96
2019-04-01,119.02,19885780,118.95,119.11,118.10
2019-04-02,119.19,16413430,119.06,119.48,118.52
2019-04-03,119.97,22354020,119.86,120.43,119.15
2019-04-04,119.36,20090610,120.10,120.23,118.38
2019-04-05,119.89,15737990,119.39,120.23,119.37
2019-04-08,119.93,15113170,119.81,120.02,118.64
2019-04-09,119.28,17275470,118.63,119.54,118.58
2019-04-10,120.19,14540330,119.76,120.35,119.54
2019-04-11,120.33,13758010,120.54,120.85,119.92
2019-04-12,120.95,19719730,120.64,120.98,120.37
2019-04-15,121.05,15526260,120.94,121.58,120.57
2019-04-16,120.77,14054870,121.64,121.65,120.10
2019-04-17,121.77,19012080,121.24,121.85,120.54
2019-04-18,123.37,27651970,122.19,123.52,121.30
2019-04-22,123.76,14825150,122.62,124.00,122.57
2019-04-23,125.44,23539620,124.10,125.58,123.83
2019-04-24,125.01,29919920,125.79,125.85,124.52
2019-04-25,129.15,37927120,130.06,131.37,128.83
2019-04-26,129.89,23306180,129.70,130.52,129.02
2019-04-29,129.77,16179580,129.90,130.18,129.35
2019-04-30,130.60,24041490,129.81,130.70,129.39
2019-05-01,127.88,26821690,130.53,130.65,127.70
2019-05-02,126.21,27350160,127.98,128.00,125.52
2019-05-03,128.90,24911130,127.36,129.43,127.25
2019-05-06,128.15,24239460,126.39,128.56,126.11
2019-05-07,125.52,36017660,126.46,127.18,124.22
2019-05-08,125.51,28419000,125.44,126.37,124.75
2019-05-09,125.50,27235840,124.29,125.79,123.57
2019-05-10,127.13,30915080,124.91,127.93,123.82
2019-05-13,123.35,33944920,124.11,125.55,123.04
2019-05-14,124.73,25266320,123.87,125.88,123.70
2019-05-15,126.02,24722710,124.26,126.71,123.70
2019-05-16,128.93,30112220,126.75,129.38,126.46
2019-05-17,128.07,25770540,128.31,130.46,127.92
2019-05-20,126.22,23706930,126.52,127.59,125.76
2019-05-21,126.90,15293260,127.43,127.53,126.58
2019-05-22,127.67,15396490,126.62,128.24,126.52
2019-05-23,126.18,23603810,126.20,126.29,124.74
2019-05-24,126.24,14123360,126.91,127.42,125.97
2019-05-28,126.16,23128360,126.98,128.00,126.05
2019-05-29,124.94,22763140,125.38,125.39,124.04
2019-05-30,125.73,16829610,125.26,125.76,124.78
2019-05-31,123.68,26646770,124.23,124.62,123.32
2019-06-03,119.84,37983640,123.85,124.37,119.01
2019-06-04,123.16,29382640,121.28,123.28,120.65
2019-06-05,125.83,24926140,124.95,125.87,124.21
2019-06-06,127.82,21458960,126.44,127.97,125.60
2019-06-07,131.40,33885590,129.19,132.25,128.26
2019-06-10,132.60,26477100,132.40,134.08,132.00
2019-06-11,132.10,23913730,133.88,134.24,131.28
2019-06-12,131.49,17092460,131.40,131.97,130.71
2019-06-13,132.32,17200850,131.98,132.67,131.56
2019-06-14,132.45,17821700,132.26,133.79,131.64
2019-06-17,132.85,14517790,132.63,133.73,132.53
2019-06-18,135.16,25934460,134.19,135.24,133.57
2019-06-19,135.69,23744440,135.00,135.93,133.81
2019-06-20,136.95,33042590,137.45,137.66,135.72
2019-06-21,136.97,36727890,136.58,137.73,136.46
2019-06-24,137.78,20628840,137.00,138.40,137.00
2019-06-25,133.43,33327420,137.25,137.59,132.73
2019-06-26,133.93,23657750,134.35,135.74,133.60
2019-06-27,134.15,16557480,134.14,134.71,133.51
2019-06-28,133.96,30042970,134.57,134.60,133.16
2019-07-01,135.68,22654160,136.63,136.70,134.97
2019-07-02,136.58,15237840,136.12,136.59,135.34
2019-07-03,137.46,13629300,136.80,137.74,136.30
2019-07-05,137.06,18141140,135.94,137.33,135.72
2019-07-08,136.96,16779750,136.40,137.10,135.37
2019-07-09,136.46,19953100,136.00,136.97,135.80
2019-07-10,137.85,24204360,137.13,138.58,137.02
2019-07-11,138.40,22327940,138.20,139.22,137.87
2019-07-12,138.90,18936830,138.85,139.13,138.01
2019-07-15,138.90,16651460,139.44,139.54,138.46
2019-07-16,137.08,22726130,138.96,139.05,136.52
2019-07-17,136.27,20210960,137.70,137.93,136.22
2019-07-18,136.42,30808710,135.55,136.62,134.67
2019-07-19,136.62,48992360,140.22,140.67,136.45
2019-07-22,138.43,25080760,137.41,139.19,137.33
2019-07-23,139.29,18034590,139.76,139.99,138.03
2019-07-24,140.72,20738280,138.90,140.74,138.85
2019-07-25,140.19,18356880,140.43,140.61,139.32
2019-07-26,141.34,19037600,140.37,141.68,140.30
2019-07-29,141.03,16605870,141.50,141.51,139.37
2019-07-30,140.35,16846530,140.14,141.22,139.80
2019-07-31,136.27,38598790,140.33,140.49,135.08
2019-08-01,138.06,40557500,137.00,140.94,136.93
2019-08-02,136.90,30791620,138.09,138.32,135.26
2019-08-05,132.21,42749550,133.30,133.93,130.78
2019-08-06,134.69,32696650,133.80,135.68,133.21
2019-08-07,135.28,33414540,133.79,135.65,131.83
2019-08-08,138.89,27496510,136.60,138.99,135.93
2019-08-09,137.71,23466700,138.61,139.38,136.46
2019-08-12,135.79,20484350,137.07,137.86,135.24
2019-08-13,138.60,25496590,136.05,138.80,135.00
2019-08-14,133.98,32527250,136.36,136.92,133.67
2019-08-15,133.68,28125420,134.39,134.58,132.25
2019-08-16,136.13,25026150,134.88,136.46,134.72
2019-08-19,138.41,24370540,137.86,138.55,136.89
2019-08-20,137.26,21189000,138.21,138.71,137.24
2019-08-21,138.79,14982310,138.55,139.49,138.00
2019-08-22,137.78,18709660,138.66,139.20,136.29
2019-08-23,133.39,38515390,137.19,138.35,132.80
2019-08-26,135.45,20325270,134.99,135.56,133.90
2019-08-27,135.74,23115640,136.39,136.72,134.66
2019-08-28,135.56,17410830,134.88,135.76,133.55
2019-08-29,138.12,20179720,137.25,138.44,136.91
2019-08-30,137.86,23946120,139.15,139.18,136.27
2019-09-03,136.04,18880770,136.61,137.20,135.70
2019-09-04,137.63,18015310,137.30,137.69,136.48
2019-09-05,140.05,26119520,139.11,140.38,138.76
2019-09-06,139.10,20824500,140.03,140.18,138.20
2019-09-09,137.52,25773930,139.59,139.75,136.46
2019-09-10,136.08,28903380,136.80,136.89,134.51
2019-09-11,136.12,24726120,135.91,136.27,135.09
2019-09-12,137.52,27009980,137.85,138.42,136.87
2019-09-13,137.32,23363060,137.78,138.06,136.57
2019-09-16,136.33,16731440,135.83,136.70,135.66
2019-09-17,137.39,17976290,136.96,137.52,136.43
2019-09-18,138.52,24473390,137.36,138.67,136.53
2019-09-19,141.07,36095410,140.30,142.37,140.07
